Original_ID,Geopolitical,Thematic,Action
281477,,Official Development Assistance,Fulfillment
281478,,External debt crisis;Development;Debt problems,Solution
281479,front-line States,Special assistance,
281480,,Committee on Conferences,Status
281481,,United Nations Disengagement Observer Force,Financing
281482,Lebanon,United Nations Interim Force,Financing
281673,Palestine,,Resolution
281674,Palestine,,
281675,Palestine,,
281676,Palestine,,Resolution
281677,Palestine,,
281687,Palestine,,
281697,South Africa,Death sentence,Passing
281698,Palestinian People,Uprising,
281699,United Nations;League of Arab States,Co-operation,
281700,Comorian island of Mayotte,,
281702,countries of origin,cultural property,return; restitution
281706,South Atlantic,Zone of peace and co-operation,
281707,Kampuchea,,
281708,African,Structural Adjustment Programmes; Socio-Economic Recovery; Transformation,Framework
281709,,Law of the Sea,
281710,South Africa,Liberation Struggle,Solidarity
281711,South Africa,Racism,Sanctions
281712,South Africa,Racism,Imposition;Co-ordination;Monitory
281713,South Africa,Apartheid economy,International financial pressures
281714,South Africa;Israel,Relations,
281715,,Apartheid,Programme of work
281716,South Africa,Oil embargo,Embargo
281717,South Africa,Military collaboration,
281718,,Apartheid,International Action; Elimination
281719,,Apartheid in Sports,Support
281720,,International Law;International Economic Order,Development
281721,States,Disputes,Peaceful settlement
281722,,Crimes against the Peace and Security of Mankind,Draft
281723,Middle East,,
281725,Middle East,,
281726,Middle East,,
281727,Palestine,,Resolution
281728,Palestine,,
281729,Palestine,,
281730,Palestine,,
281731,Nicaragua,Military activities;Paramilitary activities,Judgement;Compliance
281732,Palestine,Refugees,Assistance
281733,Palestine,Higher Education;Palestine Refugees,Offers;Grants;Scholarships
281734,Palestine; Palestinian territory; Israel,Refugees,
281735,Palestine,Refugees,Resumption; Distribution
281736,,Population; Refugees,Return
281737,Palestine,Refugees;Properties;Revenues,
281738,Palestine,Protection; Refugees,
281739,Palestine,Palestine refugees,
281740,Palestine;Near East;occupied Palestinian territory,Protection;Educational institutions;Security;UN Relief and Works Agency for Palestine Refugees,Safeguarding
281741,Israel; Occupied Territories,Human Rights,Investigation
281742,Israel; Occupied Territories,Human Rights,Investigation
281743,Israel; Occupied Territories,Human Rights,Investigation
281744,Israel;Occupied Territories,Human Rights,Investigation
281746,Israel; Occupied Territories,Human Rights,Investigation
281747,Israel;Occupied Territories,Human Rights,Investigation
281748,Israel;Occupied Territories,Human Rights,Investigation
281749,,Information,
281750,,World social situation,
281751,,United Nations system;Human rights;Fundamental freedoms,Improvement
281752,,International Convention; Crime of Apartheid,Suppression; Punishment
281753,colonial countries;peoples,right of peoples to self-determination;independence;human rights,realization;granting;guarantee;observance
281754,,Mercenaries;Human Rights;Right of Peoples to Self-Determination,Violation;Impediment
281755,Non-Self-Governing Territories,Information,Transmission
281756,Namibia;southern Africa,Declaration on the Granting of Independence to Colonial Countries and Peoples;colonial domination;colonialism;apartheid;racial discrimination,activities;implementation;efforts;elimination
281757,Colonial Countries;Peoples,Declaration;Independence,Implementation
281758,Colonial Countries;Peoples,Declaration;Independence,Programme of Activities;Observance;Granting
281759,Colonial Countries;Peoples,Declaration;Independence,Implementation;Granting
281760,,Decolonization,Dissemination of information
281761,Latin America,Treaty for the Prohibition of Nuclear Weapons; Additional Protocol I; Treaty of Tlatelolco,Implementation; Signature; Ratification
281762,,Nuclear-test explosions,Cessation
281763,,Nuclear Weapon Tests; Atmosphere; Outer Space; Water,Amendment
281764,,Nuclear-test-ban treaty,Need
281766,South Asia,Nuclear-weapon-free zone,Establishment
281767,non-nuclear-weapon States,security;nuclear weapons,strengthening
281768,non-nuclear-weapon States,nuclear weapons,assurance
281769,,Arms Race; Outer Space,Prevention
281770,Africa,Denuclearization,Implementation
281771,South Africa,Nuclear capability,
281772,,Military Budgets,Reduction
281773,,Military budgets,
281774,,Radiological Weapons,Prohibition; Development; Production; Stockpiling; Use
281775,,Nuclear-arms,Negotiations
281776,,Military matters,Objective information
281777,,Disarmament,Implementation
281778,,Fissionable Material; Weapons,Prohibition; Production
281779,,Military Resources,Conversion
281780,,Nuclear-arms,Negotiations
281781,,Naval armaments; Disarmament,
281782,,International arms transfers,
281783,,Defensive security concepts; Policies,
281784,,Radioactive Wastes,Prohibition; Dumping
281785,,Conventional disarmament; Regional scale,
281786,,World Disarmament,Campaign
281787,,Nuclear Weapons,Prohibition
281788,,Nuclear-arms,Freeze
281789,Africa;Asia;Latin America;Caribbean,Peace;Disarmament;Development,
281790,,Scientific and technological developments; International security,Impact
281791,,Science and technology; Disarmament,
281792,,Disarmament,Programme
281793,,Nuclear weapons;nuclear war,Non-use;prevention
281794,,Disarmament,Report
281795,,Nuclear-arms race;nuclear war,Cessation;prevention
281796,South Pacific,Nuclear-Free-Zone,
281797,Indian Ocean,Zone of Peace;Declaration,Implementation
281798,Israel,Nuclear armament,
281799,,Disarmament;Education,
281800,,International Security,Review; Implementation
281801,,International Covenant on Civil and Political Rights; Death Penalty,Elaboration; Abolition
281802,,Economic rights;Social rights;Cultural rights;Civil rights;Political rights,Indivisibility;Interdependence
281803,States,National sovereignty;Non-interference;Electoral processes,Respect
281804,Chile,Human Rights,
281805,,Human Rights;Fundamental Freedoms,Enlargement;Promotion
281806,Angola,Economic Rehabilitation,International Assistance
281807,States,Economic Rights;Duties,
281808,Palestinian territory,Living conditions,
281809,front-line States,Special assistance,
281810,,External debt problems,Solution
281811,land-locked developing countries,needs;problems,action
281812,developing countries,economic measures;political coercion;economic coercion,means
281813,Nicaragua,Trade Embargo,
281814,,Commodities,
281815,Developing countries,Resource transfer;Economic growth;Sustained development,Impact
281816,Palestinian people,Assistance,
281817,United States of America;Panama;Central America,Military intervention,Effects
282037,Antarctica,,
282038,Antarctica,,
282055,Namibia,,
282083,Comorian Island of Mayotte,,
282086,Non-Self-Governing Territories,Information,Transmission
282087,Southern Africa,Declaration on the Granting of Independence to Colonial Countries and Peoples; Colonial Domination; Colonialism; Apartheid; Racial Discrimination,Implementation; Efforts; Elimination
282088,Colonial Countries;Peoples,Declaration;Independence,Implementation
282089,Colonial Countries;Peoples,Declaration;Independence,Granting
282090,Colonial Countries;Peoples,Declaration;Independence,Implementation;Granting
282091,,Decolonization,Dissemination of information
282092,Organization of African Unity;League of Arab States,National liberation movements;Observer status,Recognition
282093,,Protection;Security;Safety;Diplomatic and Consular Missions;Representatives,Consideration;Enhancement
282094,,Charter of the United Nations;Role of the Organization,Strengthening
282095,,United Nations procedures,Rationalization
282096,South Atlantic,Zone of peace and co-operation,
282097,Guam,,
282102,Latin America;Caribbean,Prohibition of Nuclear Weapons;Additional Protocol I;Treaty of Tlatelolco,Implementation;Signature;Ratification
282103,,Nuclear-test explosions,Cessation
282104,,Nuclear Weapon Tests; Atmosphere; Outer Space; Water,Amendment
282105,,Nuclear-test-ban treaty,Need
282106,South Asia,Nuclear-weapon-free zone,Establishment
282107,non-nuclear-weapon States,nuclear weapons,assurance
282108,,Arms Race,Prevention
282109,,Outer Space,Confidence-Building Measures
282110,Africa,Denuclearization,Implementation
282111,South Africa,Nuclear Capability,
282112,,Nuclear-arms,Negotiations
282113,,Nuclear-arms,Negotiations
282114,,Attacks on nuclear facilities,Prohibition
282115,,Radioactive Wastes,Prohibition; Dumping
282116,,Fissionable Material; Weapons,Prohibition; Production
282117,,Military activities;Civilian endeavours;Environment;Resource allocation,Protection;Charting
282118,,Defensive security concepts;Policies,
282119,Regional,Disarmament,
282120,,Nuclear Weapons,Prohibition
282121,,Nuclear-arms,Freeze
282122,,Scientific and technological developments; International security,Impact
282123,,Nuclear-arms race;nuclear disarmament;nuclear war,Cessation;prevention
282124,,Disarmament,Report
282125,,Disarmament,Programme
282126,Israel,Nuclear armament,
282127,Palestine,,
282128,Palestine,,
282129,Palestine,,
282130,Middle East,International Peace,Conference
282131,Palestinian people,Uprising,
282135,Palestine,Assistance; Palestine Refugees,
282136,Palestine,Higher Education;Vocational Training;Refugees,Offers;Grants;Scholarships
282137,Palestine; Palestinian territory; Israel,Refugees,
282138,Palestine,Refugees,Resumption; Distribution
282139,,Population;Refugees,Return
282140,Palestine,Refugees;Properties;Revenues,
282141,Palestine,Protection;Refugees,
282142,Palestine,Palestine refugees,
282143,Palestinian territory,Protection of Palestinian students; Educational institutions; Security of the facilities of UNRWA,Safeguarding
282144,Israel;Palestine;Occupied Territories,Human Rights,Investigation
282145,Israel;Palestine;Occupied Territories,Human Rights,Investigation
282146,Israel;Palestine;Occupied Territories,Human Rights,Investigation
282147,Israel;Palestine;Occupied Territories,Human Rights,Investigation
282148,Israel;Palestine;Occupied Territories,Human Rights,Investigation
282149,Israel;Palestine;Occupied Territories,Human Rights,Investigation
282150,Israel;Palestine;Occupied Territories,Human Rights,Investigation
282151,Indian Ocean,Zone of Peace;Declaration,Implementation
282152,,Declaration on the Strengthening of International Security; International Security,Review; Implementation
282153,United Nations;League of Arab States,Co-operation,
282154,Middle East,,
282155,Middle East,,
282156,Middle East,,
282157,South Africa,Human Rights;Political Assistance;Military Assistance;Economic Assistance;Racism;Colonialism,Enjoyment
282158,,World social situation,
282159,Antarctica,,
282160,Antarctica,,
282161,,International Convention; Suppression; Punishment; Crime of Apartheid,
282162,,United Nations system;Human rights;Fundamental freedoms,Improvement;Enjoyment
282163,colonial countries;peoples,right of peoples to self-determination;independence;human rights,realization;granting;guarantee;observance
282164,,Mercenaries;Human Rights;Right of Peoples to Self-Determination,Violation;Impediment
282165,,Law of the Sea,
282167,,Principle of periodic and genuine elections,Enhancement
282168,States,National sovereignty;Non-interference;Electoral processes,Respect
282169,World,Indigenous People,International Year
282170,Kuwait,Human Rights,
282171,,Apartheid,Eradication; Measures
282172,South Africa,Military collaboration,
282173,South Africa;Israel,Relations,
282174,,Apartheid,Programme of work
282175,South Africa,Oil embargo,Embargo
282176,,Apartheid in Sports,Support
282178,Palestinian people,Assistance,
282179,,Entrepreneurship,
282474,Comorian Island of Mayotte,,
282476,countries of origin,cultural property,return; restitution
282479,,International Atomic Energy Agency,Report
282481,South Atlantic,Zone of peace; Cooperation,
282484,United Nations;League of Arab States,Cooperation,
282485,,Treaty Banning Nuclear Weapon Tests; Atmosphere; Outer Space; Water,Amendment
282486,,Nuclear-test-ban treaty,Adoption
282487,South Asia,Nuclear-weapon-free zone,Establishment
282488,non-nuclear-weapon States,nuclear weapons,assurance
282489,,Arms Race; Outer Space,Prevention
282490,Africa; South Africa,Denuclearization; Nuclear Capacity,Implementation
282491,Regional,Disarmament,
282492,,Nuclear-arms,Negotiations
282493,,Concluding Document;nuclear-arms freeze,Review;Implementation
282494,,Concluding Document of the 12th Special Session; Convention on Prohibition of Use of Nuclear Weapons; Nuclear Weapons,Review; Implementation; Prohibition
282495,,Disarmament,Review; Implementation; Recommendation; Decision
282496,,Disarmament,Review; Implementation; Recommendation; Decision; Adoption
282497,Israel,Nuclear armament,
282498,Antarctica,,
282499,Antarctica,,
282500,,Fissionable material; Weapon purposes,Production
282501,Palestine; Near East,Relief; Assistance; Refugees,Assistance
282502,Palestine,Higher Education;Palestine Refugees,Offers;Grants;Scholarships
282503,Palestine; Palestinian territory; Israel,Refugees,
282504,Palestine,Refugees,Resumption; Distribution
282505,,Population;Refugees,Return
282506,Palestine,Refugees;Properties;Revenues,
282508,Palestine,Protection; Refugees,
282509,University of Jerusalem; Al-Quds,,
282510,Palestinian territory,Protection; Educational institutions; Security; UNRWA,Safeguarding
282511,Israel;Palestine;Occupied Territories,Human Rights,Investigation
282512,Israel;Palestine;Occupied Territories,Human Rights,Investigation
282513,Israel;Palestine;Occupied Territories,Human Rights,Investigation
282514,Israel;Palestine;Occupied Territories,Human Rights,Investigation
282515,Israel;Palestine;Occupied Territories,Human Rights,Investigation
282516,Israel;Palestine;Occupied Territories,Human Rights,Investigation
282517,Israel;Palestine;Occupied Territories,Human Rights,Investigation
282518,,Transparency in armaments,
282519,UN Regional Centres,Peace;Disarmament,Review;Implementation
282520,Indian Ocean,Zone of Peace,Implementation; Declaration
282521,,International Law;International Economic Order,Development
282522,Non-Self-Governing Territories,Information,Transmission
282523,southern Africa,foreign economic interests;Declaration on the Granting of Independence to Colonial Countries and Peoples;colonial domination;colonialism;apartheid;racial discrimination,implementation;elimination;efforts
282524,Colonial Countries;Peoples,Declaration;Independence,Implementation
282525,Colonial Countries;Colonial Peoples,Declaration;Independence,Implementation;Granting
282527,,Decolonization,Dissemination of information
282528,Palestine,,
282529,Palestine,,
282530,Palestine,,
282531,Middle East,International Peace,Conference
282532,Palestinian people,Uprising,
282533,,Law of the Sea,
282534,,Apartheid,Programme of work
282535,South Africa,Military collaboration,Collaboration
282536,South Africa;Israel,Relations,
282537,South Africa,Oil embargo,Embargo
282540,Middle East,,
282541,Middle East,,
282542,,International Convention on the Suppression and Punishment of the Crime of Apartheid,Suppression; Punishment
282543,,Racism;Racial Discrimination,Elimination
282544,colonial countries;peoples,right of peoples to self-determination;independence;human rights,realization;granting;guarantee;observance
282545,,Mercenaries;Human Rights;Right of Peoples to Self-Determination,Violation;Impediment
282546,,World social situation,
282547,,United Nations System;Human Rights;Fundamental Freedoms,Improvement
282548,States,National sovereignty;Non-interference;Electoral processes,Respect
282549,Iraq,Human Rights,
282550,Kuwait;Iraq,Human Rights,
282551,,Principle of periodic and genuine elections,Enhancement
282552,Africa,Crime;Treatment of Offenders,Prevention
282553,Palestinian territory,Living conditions,
282554,Israel;Palestinian territory;Jerusalem;Arab territories,Economic effects,
282555,Palestinian people,Assistance,
282556,developing countries,economic measures;political coercion;economic coercion,means
282557,Kuwait;Iraq,Environmental consequences,International cooperation;Mitigation
282811,Bosnia and Herzegovina,,
282817,,Security Council,Recommendation
282824,,International Atomic Energy Agency,Report
282825,Comorian Island of Mayotte,,
282826,United Nations;League of Arab States,Cooperation,
282830,Non-Self-Governing Territories,Information,Transmission
282831,Southern Africa,Foreign economic interests; Declaration on the Granting of Independence to Colonial Countries and Peoples; Colonial domination; Colonialism; Apartheid; Racial discrimination,Implementation; Efforts; Elimination
282832,Colonial Countries;Colonial Peoples,Declaration;Independence,Implementation
282835,United States of America;Cuba,Economic embargo;Commercial embargo;Financial embargo,Ending
282836,Colonial Countries;Colonial Peoples,Declaration;Independence,Implementation;Granting
282837,,Decolonization,Dissemination of information
282838,Organization of African Unity;League of Arab States,National Liberation Movements;Observer Status,Recognition
282847,,Scientific and technological developments; International security,Impact
282848,,Nuclear Weapon Tests; Atmosphere; Outer Space; Water,Amendment
282849,,Nuclear-test-ban treaty,Adoption
282850,South Asia,Nuclear-weapon-free zone,Establishment
282851,non-nuclear-weapon States,nuclear weapons,assurance
282852,,Arms race; Outer space,Prevention
282853,,Disarmament; Treaty on the Non-proliferation of Nuclear Weapons,Conference; Preparatory Committee
282854,,Prohibition; Production; Fissionable Material,Prohibition
282855,Regional,Disarmament,
282856,,Nuclear Weapons,Prohibition; Use
282857,,Nuclear-arms,Freeze
282858,United Nations,Disarmament,Review; Implementation; Recommendation; Decision
282859,Israel,Nuclear armament,
282860,Indian Ocean,Zone of Peace,Implementation
282861,,International Security,Review; Implementation; Strengthening
282862,,International Security,Maintenance
282863,Middle East,,
282864,Middle East,,
282865,Palestine,,
282866,Palestine,,
282867,Palestine,,
282868,Palestine,,
282869,Palestine,,
282870,,Law of the Sea,
282871,Palestine; Near East,Relief; Assistance; Refugees,Assistance
282872,Palestine,Refugees,Grant; Scholarship
282873,Palestine,Refugees,
282874,Palestine,Refugees,Resumption; Distribution
282875,,Population;Refugees,Return
282876,Palestine,Refugees;Properties;Revenues,
282877,Palestine,Protection;Refugees,
282878,Jerusalem,,
282879,Palestine; Near East,Educational Institutions; UN Relief and Works Agency for Palestine Refugees,Protection
282880,Israel;Palestine;Occupied Territories,Human Rights,Investigation
282881,Israel;Palestine;Occupied Territories,Human Rights,Investigation
282882,Israel;Palestine;Occupied Territories,Human Rights,Investigation
282883,Israel;Palestine;Occupied Territories,Human Rights,Investigation
282884,Israel;Palestine;Occupied Territories,Human Rights,Investigation
282885,Israel;Palestine;Occupied Territories,Human Rights,Investigation
282886,Israel;Palestine;Occupied Territories,Human Rights,Investigation
282887,South Atlantic,Zone of peace; Cooperation,
282888,Regional,Confidence-building measures,
282890,,International Convention; Suppression; Punishment; Crime of Apartheid,
282891,colonial countries;peoples,right of peoples to self-determination;independence;human rights,realization;granting;guarantee;observance
282892,,Mercenaries;Human Rights;Right of Peoples to Self-Determination,Violation;Impediment
282893,Africa,Crime;Treatment of Offenders,Prevention
282894,South Africa,Policies of apartheid; Oil embargo,Embargo
282895,South Africa,Policies of apartheid; Military collaboration,Collaboration
282896,South Africa; Israel,Policies of apartheid,Relations
282897,South Africa,Apartheid;Commission against Apartheid in Sports,Support
282898,Bosnia and Herzegovina,,
282899,States,National sovereignty;Non-interference;Electoral processes,Respect
282900,,United Nations System;Human Rights;Fundamental Freedoms,Improvement
282901,,Principle of periodic and genuine elections,Enhancement
282902,Cuba,Human Rights,Resolution
282903,Sudan,,
282904,Iraq,Human Rights,
282905,Islamic Republic of Iran,Human Rights,
282906,Kuwait;Iraq,Environmental consequences,International cooperation;Mitigation
282909,Palestinian people,Assistance,
282910,Israel;Palestine;Jerusalem;Syrian Golan,Economic repercussions;Social repercussions;Israeli settlements,
282911,Developing countries,International debt crisis;Development;External debt problems,International cooperation;Solution
283166,Antarctica,,
283200,,,
283233,,International Atomic Energy Agency,Report
283234,countries of origin,cultural property,return; restitution
283235,United States of America;Cuba,Economic embargo;Commercial embargo;Financial embargo,Ending
283246,South Atlantic,Zone of peace; Cooperation,
283272,,Law of the Sea,
283273,Palestine,Assistance; Palestine refugees,
283274,Palestine,Higher Education;Vocational Training;Refugees,Offers;Grants;Scholarships
283275,Palestine; Palestinian territory; Israel,Refugees,
283276,,Population;Refugees,Return
283277,Palestine,Refugees;Properties;Revenues,
283278,Palestine,Protection; Refugees,
283279,Palestine,Palestine refugees,
283280,Palestinian,Protection;Educational Institutions;Security;Facilities;UNRWA,Safeguarding
283281,Israel;Palestine;Occupied Territories,Human Rights,Investigation
283282,Israel;Palestine;Occupied Territories,Human Rights,Investigation
283283,Israel;Palestinian People;Occupied Territories,Human Rights,Investigation
283284,Israel;Palestine;Occupied Territories,Human Rights,Investigation
283285,Non-Self-Governing Territories,Information,Transmission
283286,Colonial Countries; Territories under colonial domination,Foreign economic interests; Declaration on the Granting of Independence,Implementation
283287,Colonial Countries;Peoples,Declaration;Independence,Implementation
283288,Colonial Countries;Colonial Peoples,Declaration;Independence,Implementation;Granting
283289,,Decolonization,Dissemination of information
283290,Comorian Island of Mayotte,,
283291,Middle East; Jerusalem,,
283292,Middle East; Syrian Golan,,
283293,Middle East,Peace Process,
283294,,Scientific and technological developments; International security,Impact
283295,,Science and Technology; International Security; Disarmament,Role
283296,United Nations,Verification,Role
283297,,Treaty Banning Nuclear Weapon Tests; Atmosphere; Outer Space; Water,Amendment
283298,,Arms Race; Outer Space,Prevention
283299,,Disarmament,Adoption
283300,,Illicit transfer; Conventional arms,Measures; Use
283301,Regional,Disarmament,
283302,regional;subregional levels,Conventional arms control,
283303,South Asia,Nuclear-weapon-free zone,Establishment
283304,,Conventional Weapons,Prohibition; Restriction
283305,Indian Ocean,Zone of Peace;Declaration,Implementation
283306,,Declaration on the Strengthening of International Security; International Security,Review; Implementation
283307,,International Security,Maintenance
283308,regional,confidence-building measures,review; implementation
283309,,Nuclear Weapons,Prohibition; Use
283311,Israel,Nuclear Armament,
283312,non-nuclear-weapon States,nuclear weapons,assurance
283315,Bosnia and Herzegovina,,
283316,,International Convention on the Suppression and Punishment of the Crime of Apartheid,Suppression; Punishment
283317,,Mercenaries;Human Rights;Right of Peoples to Self-Determination,Violation;Impediment
283318,colonial countries;peoples,right of peoples to self-determination;independence;human rights,realization;granting;guarantee;observance
283319,Africa,Crime;Treatment of Offenders,Prevention
283320,,United Nations System;Human Rights;Fundamental Freedoms,Improvement
283321,States,National sovereignty;Non-interference;Electoral processes,Respect
283322,,Principle of periodic and genuine elections,Enhancement
283323,Cuba,Human Rights,
283324,Iraq,Human Rights,
283325,Islamic Republic of Iran,Human Rights,
283326,Sudan,Human Rights,
283327,Palestine; Palestinian People,Inalienable Rights,Exercise
283328,Palestine,,
283329,,,
283330,Palestine,Peaceful settlement,Settlement
283331,developing countries,economic measures;political coercion;economic coercion,means
283332,Developing countries,External debt problems,International cooperation; Solution
283333,Israel;Palestine;Jerusalem;Syrian Golan,Economic repercussions;Social repercussions;Israeli settlements,
283556,Antarctica,,
283566,,United Nations Convention on the Law of the Sea,Agreement; Implementation
283584,United States of America;Cuba,Economic embargo;Commercial embargo;Financial embargo,Ending
283587,Bosnia and Herzegovina,,
283588,Individual territories,,
283594,Comorian Island of Mayotte,,
283601,South Atlantic,Zone of peace; Cooperation,
283602,,Law of the Sea,
283604,,Peaceful Uses of Outer Space,Enlargement
283605,Palestine,Assistance; Palestine refugees,
283606,,Persons displaced; Hostilities,
283607,Palestine,Grants;Scholarships;Higher Education;Vocational Training;Refugees,Offer
283608,Palestine;Near East,Relief;Works;Refugees,Operations
283609,Palestine,Refugees;Properties;Revenues,
283610,Jerusalem; Al Quds,,
283611,Israel;Palestine;Occupied Territories,Human Rights,Investigation
283612,Israel;Palestine;Occupied Territories,Human Rights,Investigation
283613,Israel;Palestine;Occupied Territories,Human Rights,Investigation
283614,Israel;Palestine;Occupied Territories,Human Rights,Investigation
283615,Non-Self-Governing Territories,Information,Transmission
283616,Colonial Countries; Territories under colonial domination,Foreign economic interests; Declaration on the Granting of Independence,Implementation
283617,Colonial Countries;Peoples,Declaration;Independence,Implementation
283618,Croatia,Occupied territories,
283619,,Law; Non-navigational uses; International watercourses,Drafting
283620,,Charter of the United Nations;Role of the Organization,Strengthening
283621,Palestinian People,Inalienable Rights,Exercise
283622,Palestine,Palestinian Rights,
283623,Palestine,,
283624,Palestine,Peaceful settlement,Settlement
283625,,International Atomic Energy Agency,Report
283626,,Scientific and technological developments; International security,Impact
283627,,Science and Technology; International Security; Disarmament,Role
283628,,Treaty Banning Nuclear Weapon Tests; Atmosphere; Outer Space; Water,Amendment
283629,South Asia,Nuclear-weapon-free zone,Establishment
283630,non-nuclear-weapon States,nuclear weapons,assurance
283631,,Arms race; Outer space,Prevention
283632,,Disarmament Decade,Review
283633,,Transparency; Armaments,
283634,,Nuclear Threat,Reduction
283635,,Treaty on the Non-Proliferation of Nuclear Weapons,Review; Extension; Conference
283636,States,Illicit traffic in small arms,Assistance; Curbing; Collection
283637,,Nuclear disarmament; Nuclear weapons,Elimination
283638,,International Court of Justice; Threat or Use of Nuclear Weapons; Legality,Request; Advisory Opinion
283639,Regional,Disarmament,
283640,regional;subregional levels,Conventional arms control,
283641,,Nuclear-arms;nuclear disarmament,Negotiations
283642,,Nuclear Weapons,Prohibition
283643,,Confidence-building measures,Implementation
283644,Middle East,Nuclear Proliferation,Risk
283645,Indian Ocean,Zone of Peace;Declaration,Implementation
283646,South Atlantic region,Nuclear-weapon-free zone,
283647,Middle East; Jerusalem,,
283648,Middle East; Syrian Golan,,
283649,Middle East,Peace process,
283650,Colonial Countries;Peoples,Declaration;Independence,Implementation;Granting
283651,,Decolonization,Dissemination of information
283669,Israel;Palestine;Jerusalem;Syrian Golan,Economic repercussions;Social repercussions;Israeli settlements,
283671,Palestinian people,Self-determination,Right
283672,,Mercenaries;Human Rights;Right of Peoples to Self-Determination,Violation;Impediment
283673,Colonial countries;Peoples,Right of peoples to self-determination;Independence;Human rights,Realization;Granting;Guarantee;Observance
283674,States,National sovereignty;Non-interference;Electoral process,Respect
283675,,Freedom of Travel;Family Reunification,Respect
283676,,United Nations System;Human Rights;Fundamental Freedoms,Improvement
283677,,United Nations; Principle of periodic and genuine elections; Democratization,Strengthening; Enhancement; Promotion
283678,Republic of Bosnia and Herzegovina;Republic of Croatia;Federal Republic of Yugoslavia;Serbia and Montenegro,Human Rights,
283679,Sudan,Human Rights,
283680,Cuba,Human Rights,
283681,Islamic Republic of Iran,Human Rights,
283682,Iraq,Human Rights,
283683,Kosovo,Human Rights,
283917,,Women; Equality; Development; Peace,Accreditation; Action
284059,,International Atomic Energy Agency,Report
284060,United States of America;Cuba,Economic embargo;Commercial embargo;Financial embargo,Ending
284061,,Multilingualism,
284062,South Atlantic,Zone of peace; Cooperation,
284093,Middle East,Peace process,
284094,Jerusalem,,
284095,Syrian Golan,,
284096,,Law of the sea,
284097,Palestine,Refugees,Assistance
284098,,Persons displaced,
284099,Palestine,Higher Education;Vocational Training;Refugees,Offers;Grants;Scholarships
284100,,UNRWA,Operations
284101,Palestine,Refugees;Properties;Revenues,
284102,Jerusalem; Palestine,Palestine refugees,
284103,Israel;Palestine;Occupied Territories,Human Rights,Investigation
284104,Israel;Palestine;Occupied Territories,Human Rights,Investigation
284105,Israel;Palestine;Occupied Territories,Human Rights,Investigation
284106,Israel;Palestine;Occupied Territories,Human Rights,Investigation
284107,Non-Self-Governing Territories,Information,Transmission
284108,Colonial Countries; Territories under colonial domination,Foreign economic interests; Declaration on the Granting of Independence,Implementation
284109,Colonial Countries;Peoples,Declaration;Independence,Implementation
284110,American Samoa;Anguilla;Bermuda;British Virgin Islands;Cayman Islands;Guam;Montserrat;Pitcairn;St. Helena;Tokelau;Turks and Caicos Islands;United States Virgin Islands,,
284111,Colonial Countries;Peoples,Declaration;Independence,Implementation;Granting
284112,,Decolonization,Dissemination of information
284118,,Charter of the United Nations;Role of the Organization,Strengthening
284119,countries of origin,cultural property,restitution; return
284123,United Nations,Verification,Role
284124,,Science and Technology; International Security; Disarmament,Role
284125,,Treaty Banning Nuclear Weapon Tests,Amendment
284126,South Asia,Nuclear-weapon-free zone,Establishment
284127,Non-nuclear-weapon States,Nuclear weapons,Conclusion; Assurance
284128,,Nuclear testing,
284129,,Small arms,
284130,,Nuclear disarmament;nuclear weapons,elimination
284132,,Transparency in armaments,
284133,,Disarmament,Convening
284134,,Nuclear arms;nuclear disarmament,Negotiations
284135,Regional,Disarmament,
284136,regional;subregional levels,Conventional arms control,
284137,,Environmental norms;Disarmament;Arms control,Observance;Drafting;Implementation
284138,,Nuclear arms; Nuclear disarmament,Negotiations
284139,,Nuclear disarmament,
284140,,Treaty on the Non-Proliferation of Nuclear Weapons,Review; Extension
284141,,Nuclear Weapons,Prohibition
284142,Middle East,Nuclear Proliferation,Risk
284143,Indian Ocean,Zone of Peace,Implementation; Declaration
284145,Palestinian People,Inalienable Rights,Exercise
284146,Palestine,,
284147,,Department of Public Information; Secretariat,
284148,Palestine,Peaceful settlement,Settlement
284151,developing countries,economic measures;political coersion,means
284152,Israel;Palestine;Jerusalem;Syrian Golan,Economic repercussions;Social repercussions;Israeli settlements,
284155,,Mercenaries;Human Rights;Right of People to Self-Determination,Violation;Impediment
284156,Palestinian people,Self-determination,Right
284157,States,National sovereignty;Non-interference;Electoral processes,Respect
284158,,Freedom of Travel;Family Reunification,Respect
284159,,United Nations; Principle of periodic and genuine elections; Democratization,Strengthening; Enhancement; Promotion
284160,Islamic Republic of Iran,Human Rights,
284161,Kosovo,Human Rights,
284162,Iraq,Human Rights,
284163,Republic of Bosnia and Herzegovina;Republic of Croatia;Federal Republic of Yugoslavia;Serbia and Montenegro,Human Rights,
284164,Sudan,Human Rights,
284165,Cuba,Human Rights,
284166,Nigeria,Human Rights,
284470,,Science and Technology;International Security;Disarmament,Role
284471,,Arms Race; Outer Space,Prevention
284472,Middle East,,
284473,Lebanon,United Nations Interim Force,Financing
284474,,International Atomic Energy Agency,Report
284475,South Atlantic,Zone of peace; Cooperation,
284476,United States of America;Cuba,Economic embargo;Commercial embargo;Financial embargo,Ending
284477,,Nuclear-test-ban treaty,Comprehensive
284496,,Coercive economic measures;Political compulsion;Economic compulsion,Elimination
284502,Palestinian People,Inalienable Rights,Exercise
284503,Palestine,Division for Palestinian Rights,
284504,Palestine,Information,Programme
